id_supplier,nama_supplier,kategori_barang,kota,provinsi,no_telepon,email ,tanggal_kerjasama,timestamp_update_date,timestamp_update_time,rating_supplier,status_aktif,npwp
SUP0675,CV Anggraini Mandala (Persero) Tbk,Elektronik,Surabaya,Jawa Timur,0852576095604,tri23@pd.org,2020-07-17,2024-05-24,06:19:30,4.0,Aktif,58.654.217.6-759.524
SUP2529,CV Anggraini Tbk,Alat Tulis,Makassar,Sulawesi Selatan,0895108921506,daryanimelani@pd.mil,2021-10-10,2022-01-11,13:15:44,3.7,Aktif,53.642.383.6-033.672
SUP1278,CV Anggriawan Purwanti,Farmasi,Yogyakarta,DI Yogyakarta,0895707339009,unknown,2016-06-10,2023-07-21,11:25:36,5.0,Aktif,40.136.811.0-314.958
SUP3039,CV Anggriawan Sihotang,Sembako,Samarinda,Kalimantan Timur,0857507544713,santosocayadi@pt.go.id,2020-05-20,2022-09-16,02:56:46,3.2,Aktif,60.747.260.5-784.186
SUP1123,CV Ardianto,Alat Tulis,Yogyakarta,DI Yogyakarta,0822617572246,irfannarpati@perum.ponpes.id,2017-08-24,2023-04-21,14:38:36,4.5,Non-Aktif,86.379.583.6-135.401
SUP2031,CV Ardianto,Elektronik,Medan,Sumatera Utara,0811752504452,ekuswoyo@perum.go.id,2016-04-08,2024-10-24,03:09:21,2.8,Non-Aktif,67.428.450.9-729.073
SUP4077,CV Ardianto,Bahan Baku,Samarinda,Kalimantan Timur,0878821644092,cakrajiyanasyiah@perum.edu,2021-07-26,2022-07-30,05:29:23,3.3,Aktif,55.347.107.5-920.255
SUP0086,CV Ardianto (Persero) Tbk,Sembako,Jakarta,DKI Jakarta,0857575706292,jefrizulkarnain@perum.org,2023-08-01,2022-06-25,11:47:52,4.1,Aktif,54.477.211.7-079.771
SUP1216,CV Ardianto Andriani,Sembako,Surabaya,Jawa Timur,0813055827403,harsantomaryati@pd.my.id,2016-04-06,2022-01-10,02:50:13,2.9,Aktif,94.443.106.6-765.515
SUP3488,CV Ardianto Tbk,Fashion,Samarinda,Kalimantan Timur,0878711972125,unknown,2021-12-06,2022-12-25,22:56:25,3.9,Aktif,16.197.689.9-616.129
SUP0891,CV Aryani,Alat Tulis,Makassar,Sulawesi Selatan,0813505390794,xdamanik@cv.mil.id,2017-06-17,2023-04-02,11:05:17,3.0,Aktif,65.505.255.0-940.538
SUP2505,CV Aryani (Persero) Tbk,Alat Tulis,Denpasar,Bali,0822375251009,cayadisaputra@cv.ponpes.id,2020-01-16,2023-08-26,02:04:18,3.8,Aktif,11.589.541.2-311.280
SUP0834,CV Astuti Pertiwi (Persero) Tbk,Farmasi,Denpasar,Bali,0811438150654,kamariaprabowo@perum.mil.id,2018-07-27,2022-09-16,23:19:34,4.1,Aktif,29.452.344.8-399.922
SUP0335,CV Astuti Sihotang (Persero) Tbk,Farmasi,Jakarta,DKI Jakarta,0812092666603,xpuspita@pt.mil,2023-12-22,2022-08-26,14:59:45,4.9,Aktif,72.147.862.4-834.646
SUP2487,CV Budiman,Farmasi,Palembang,Sumatera Selatan,0812132429004,heru64@pt.gov,2019-10-09,2022-08-31,08:29:08,2.6,Aktif,53.779.780.7-109.709
SUP3530,CV Budiman Hasanah Tbk,Farmasi,Yogyakarta,DI Yogyakarta,0812331277048,kuntharawinarno@ud.sch.id,2019-05-30,2022-06-11,18:08:27,4.9,Aktif,66.588.503.5-055.830
SUP2308,CV Budiman Megantara,Farmasi,Denpasar,Bali,0857811330562,endahpangestu@perum.mil.id,2020-07-18,2022-03-18,21:56:28,3.7,Aktif,73.520.978.6-136.395
SUP3581,CV Budiman Nababan,Farmasi,Jakarta,DKI Jakarta,0895840464595,rprayoga@perum.biz.id,2022-01-24,2024-09-02,21:25:27,3.7,Non-Aktif,87.478.335.3-666.396
SUP1718,CV Budiman Yolanda,Fashion,Bandung,Jawa Barat,0857863811212,kusmawatiteguh@perum.sch.id,2022-12-11,2024-01-07,21:34:33,4.2,Aktif,44.896.514.1-754.919
SUP0549,CV Budiyanto,Alat Tulis,Bandung,Jawa Barat,0852156863128,waskitaikin@cv.desa.id,2016-05-02,2023-05-15,07:59:12,4.8,Aktif,86.702.001.6-803.158
SUP3897,CV Budiyanto,Sembako,Medan,Sumatera Utara,0822245279457,karmansihotang@cv.biz.id,2021-04-03,2023-12-13,08:14:59,4.1,Aktif,47.613.208.8-827.376
SUP0723,CV Budiyanto (Persero) Tbk,Fashion,Denpasar,Bali,0852984702576,maryadiimam@pd.sch.id,2021-11-17,2024-11-02,11:52:54,4.8,Aktif,44.338.710.6-017.329
SUP1291,CV Budiyanto Mulyani,Sembako,Samarinda,Kalimantan Timur,0857018035358,yuliantijamal@pt.my.id,2016-03-14,2023-07-12,16:42:47,4.5,Aktif,72.775.139.7-251.850
SUP1795,CV Budiyanto Prastuti Tbk,Sembako,Palembang,Sumatera Selatan,0852773801252,dsihombing@pd.my.id,2022-05-31,2022-10-04,13:46:51,2.7,Aktif,91.186.259.7-301.483
SUP1906,CV Budiyanto Puspasari Tbk,Elektronik,Palembang,Sumatera Selatan,0852626307972,lembahhassanah@perum.my.id,2022-07-03,2022-11-10,07:14:37,4.6,Non-Aktif,05.558.399.0-139.349
SUP3812,CV Budiyanto Riyanti Tbk,Bahan Baku,Medan,Sumatera Utara,0811141524440,futami@cv.sch.id,2020-03-22,2023-04-13,08:44:14,4.4,Aktif,40.028.194.3-325.607
SUP2254,CV Budiyanto Tbk,Farmasi,Medan,Sumatera Utara,0878191978550,eko86@ud.sch.id,2024-11-14,2023-02-28,22:20:36,4.1,Aktif,59.524.297.1-484.569
SUP3788,CV Budiyanto Tbk,Bahan Baku,Semarang,Jawa Tengah,0811953843876,wsimanjuntak@cv.or.id,2023-05-13,2023-10-02,18:28:26,3.7,Aktif,51.431.206.7-753.307
SUP3264,CV Budiyanto Wibisono,Alat Tulis,Makassar,Sulawesi Selatan,0852861379262,cawisaditamba@ud.com,2023-07-01,2024-10-05,04:49:09,4.4,Aktif,85.608.782.7-697.677
SUP2618,CV Budiyanto Yolanda Tbk,Alat Tulis,Jakarta,DKI Jakarta,0852920671962,gamblangpermadi@perum.desa.id,2022-03-04,2022-05-02,03:29:12,3.6,Aktif,59.900.076.9-996.730
SUP1222,CV Dabukke,Sembako,Samarinda,Kalimantan Timur,0822148852760,muhammad68@cv.desa.id,2023-03-25,2022-10-26,07:02:30,3.7,Aktif,54.828.900.8-444.257
SUP2880,CV Dabukke Handayani (Persero) Tbk,Fashion,Bandung,Jawa Barat,0857333572338,digdaya90@pt.gov,2022-12-25,2024-04-24,08:13:25,3.6,Aktif,50.428.994.8-764.858
SUP0601,CV Dabukke Hidayanto Tbk,Sembako,Jakarta,DKI Jakarta,0878833349562,maman52@pd.co.id,2019-10-02,2024-05-06,02:14:57,2.8,Aktif,45.025.923.8-637.468
SUP1700,CV Dabukke Hutasoit Tbk,Sembako,Medan,Sumatera Utara,0812388725781,jaswadisihotang@cv.gov,2022-03-16,2023-11-10,09:32:08,3.3,Non-Aktif,88.667.632.5-861.716
SUP1175,CV Dabukke Tbk,Sembako,Makassar,Sulawesi Selatan,0822871432778,wastutimaimunah@perum.net,2017-06-04,2023-06-09,13:26:55,3.4,Aktif,94.266.369.8-747.852
SUP3067,CV Dabukke Widodo (Persero) Tbk,Fashion,Medan,Sumatera Utara,0822579416782,prasetyoumaya@pt.gov,2024-07-26,2022-03-24,03:59:38,3.6,Aktif,80.924.746.2-958.089
SUP2056,CV Damanik,Elektronik,Samarinda,Kalimantan Timur,0822295375041,aisyah17@pt.net,2021-05-09,2022-01-28,06:07:42,4.7,Aktif,41.169.449.3-083.276
SUP3689,CV Damanik,Fashion,Denpasar,Bali,0821473949213,erahimah@pd.com,2022-06-08,2024-04-01,08:03:45,2.7,Aktif,25.259.396.7-293.955
SUP0225,CV Damanik Maryadi,Alat Tulis,Yogyakarta,DI Yogyakarta,0813324211489,wijayacandra@ud.mil.id,2018-08-05,2023-10-08,02:15:38,4.6,Aktif,37.914.610.1-560.608
SUP1794,CV Damanik Najmudin,Elektronik,Surabaya,Jawa Timur,0857373877486,vsiregar@ud.ac.id,2024-08-24,2024-01-10,00:46:37,2.5,Aktif,36.984.823.1-319.641
SUP2090,CV Damanik Purnawati Tbk,Bahan Baku,Yogyakarta,DI Yogyakarta,0822091685938,rajatapaulin@cv.org,2022-03-04,2024-11-06,12:09:48,2.6,Aktif,70.361.365.4-486.299
SUP0793,CV Damanik Riyanti (Persero) Tbk,Fashion,Jakarta,DKI Jakarta,0822730374013,vino09@pt.my.id,2020-01-26,2023-08-23,01:58:59,3.4,Aktif,12.101.762.8-075.439
SUP2518,CV Dongoran,Alat Tulis,Bandung,Jawa Barat,0852174243533,jail24@pt.go.id,2020-02-06,2023-11-05,04:48:45,2.5,Aktif,73.229.298.0-666.658
SUP1920,CV Dongoran Susanti,Alat Tulis,Surabaya,Jawa Timur,0813747902948,unknown,2021-12-04,2024-01-19,00:44:46,3.4,Aktif,93.727.378.1-126.943
SUP0284,CV Dongoran Tbk,Bahan Baku,Jakarta,DKI Jakarta,0852468559487,lnapitupulu@pt.or.id,2016-12-19,2022-08-11,10:25:05,4.9,Aktif,99.820.721.0-824.816
SUP0654,CV Farida,Fashion,Palembang,Sumatera Selatan,0813070642072,hasta29@pt.mil.id,2017-12-13,2024-01-05,20:29:44,2.7,Aktif,60.113.089.2-934.089
SUP0161,CV Farida Tbk,Bahan Baku,Denpasar,Bali,0822819732271,nababancawisadi@cv.desa.id,2017-05-19,2022-11-11,15:43:28,3.9,Aktif,83.681.038.9-151.939
SUP3413,CV Farida Tbk,Alat Tulis,Yogyakarta,DI Yogyakarta,0822394876622,jindra23@pt.sch.id,2021-05-25,2024-08-14,16:50:44,3.4,Aktif,57.419.533.8-780.705
SUP1122,CV Farida Yolanda,Farmasi,Samarinda,Kalimantan Timur,0812867005332,enteng29@pd.id,2019-04-01,2023-08-31,23:22:16,3.6,Aktif,06.453.420.0-513.463
SUP3615,CV Farida Yolanda (Persero) Tbk,Sembako,Makassar,Sulawesi Selatan,0813993950008,sarah05@pt.co.id,2016-07-24,2024-06-08,17:55:56,4.0,Aktif,11.782.388.3-333.135
SUP2539,CV Farida Yuniar,Farmasi,Jakarta,DKI Jakarta,0813130509287,kwulandari@ud.sch.id,2024-08-11,2024-04-10,21:44:16,3.9,Aktif,66.487.314.5-524.271
SUP1533,CV Firgantoro Riyanti,Sembako,Jakarta,DKI Jakarta,0895013673522,dacinkuswoyo@pd.net,2019-08-08,2023-07-20,19:44:32,2.8,Aktif,04.575.182.0-109.503
SUP3120,CV Firgantoro Tbk,Sembako,Bandung,Jawa Barat,0852574720550,ramadansiti@pd.my.id,2020-08-10,2024-02-14,08:24:28,4.7,Aktif,20.239.047.2-824.974
SUP2557,CV Firgantoro Wahyuni,Elektronik,Semarang,Jawa Tengah,0822006735179,agunawan@pt.web.id,2019-03-02,2022-03-01,03:47:00,4.7,Aktif,85.476.833.9-575.799
SUP1666,CV Firmansyah (Persero) Tbk,Bahan Baku,Yogyakarta,DI Yogyakarta,0821255840325,nalarmayasari@pd.mil.id,2020-10-19,2024-02-10,23:58:46,4.1,Aktif,90.876.432.3-770.909
SUP0163,CV Firmansyah Hutagalung (Persero) Tbk,Farmasi,Makassar,Sulawesi Selatan,0821791287223,bprabowo@pt.ponpes.id,2020-02-27,2023-06-20,11:49:43,3.7,Aktif,47.293.410.8-045.058
SUP0596,CV Firmansyah Irawan (Persero) Tbk,Bahan Baku,Palembang,Sumatera Selatan,0895346979918,nadiahakim@pd.id,2016-10-18,2024-08-18,05:12:04,4.1,Non-Aktif,53.824.952.9-182.598
SUP2155,CV Firmansyah Mansur (Persero) Tbk,Sembako,Palembang,Sumatera Selatan,0822909891830,garan26@cv.edu,2023-10-10,2023-10-18,12:10:36,4.0,Aktif,40.412.093.1-672.001
SUP2044,CV Firmansyah Marpaung Tbk,Sembako,Bandung,Jawa Barat,0878206525478,jrahmawati@pd.net,2022-08-19,2022-03-31,14:31:46,4.1,Aktif,01.323.416.7-900.768
SUP0143,CV Firmansyah Mayasari,Elektronik,Makassar,Sulawesi Selatan,0811735519382,amikuswandari@perum.biz.id,2016-01-13,2022-01-21,17:23:13,2.7,Aktif,55.038.431.0-276.475
SUP3614,CV Firmansyah Siregar,Bahan Baku,Makassar,Sulawesi Selatan,0878398346696,wirdasitompul@pd.biz.id,2021-03-20,2022-03-14,22:12:22,3.1,Non-Aktif,62.543.875.4-921.286
SUP1787,CV Firmansyah Sudiati,Elektronik,Jakarta,DKI Jakarta,0857543145308,aryanizalindra@ud.mil.id,2022-11-07,2023-04-08,00:01:00,4.2,Aktif,79.352.986.9-139.109
SUP0717,CV Fujiati,Bahan Baku,Denpasar,Bali,0811403999282,hidayatbambang@ud.go.id,2024-09-29,2022-02-09,16:50:25,3.2,Aktif,59.521.075.7-206.904
SUP3926,CV Fujiati Padmasari (Persero) Tbk,Sembako,Jakarta,DKI Jakarta,0852202785198,zwahyuni@cv.go.id,2024-08-15,2022-06-19,02:12:23,2.7,Aktif,43.480.270.0-194.464
SUP3780,CV Fujiati Tamba,Alat Tulis,Denpasar,Bali,0852581931271,cengkalhastuti@pd.ac.id,2022-03-18,2024-03-02,15:50:02,3.1,Aktif,88.509.987.5-205.844
SUP1815,CV Fujiati Tbk,Bahan Baku,Palembang,Sumatera Selatan,0812035838069,gilang77@ud.mil.id,2017-04-14,2024-08-30,23:18:25,4.6,Aktif,69.603.596.2-609.206
SUP1819,CV Gunarto (Persero) Tbk,Bahan Baku,Yogyakarta,DI Yogyakarta,0878207073131,ihsankurniawan@pt.gov,2016-12-04,2024-02-22,16:52:13,3.7,Aktif,56.804.983.8-181.426
SUP2396,CV Gunarto Ardianto,Alat Tulis,Makassar,Sulawesi Selatan,0857945855766,dsaragih@pd.org,2020-10-05,2024-01-10,11:10:01,2.7,Aktif,96.994.004.1-267.545
SUP3651,CV Gunarto Tbk,Elektronik,Surabaya,Jawa Timur,0878704168955,raden35@cv.ac.id,2022-07-28,2024-03-26,16:17:20,3.7,Aktif,72.684.021.5-775.630
SUP2736,CV Gunarto Yuniar (Persero) Tbk,Alat Tulis,Denpasar,Bali,0852963455930,jamil21@pd.ac.id,2020-07-10,2024-04-11,04:44:34,2.6,Aktif,87.278.345.7-095.698
SUP3512,CV Gunawan Dabukke,Sembako,Samarinda,Kalimantan Timur,0811243276180,niyaga37@pd.com,2017-12-07,2023-07-06,08:51:17,3.2,Aktif,18.697.233.0-247.437
SUP2680,CV Gunawan Mandasari,Farmasi,Yogyakarta,DI Yogyakarta,0821535130936,slametyolanda@ud.my.id,2021-03-14,2022-03-01,21:24:24,4.1,Aktif,44.068.681.9-708.951
SUP1649,CV Gunawan Saputra Tbk,Farmasi,Semarang,Jawa Tengah,0811843813894,hasimdongoran@pd.gov,2016-06-01,2024-08-01,11:21:38,3.6,Aktif,05.595.145.9-393.915
SUP0742,CV Gunawan Sitorus (Persero) Tbk,Sembako,Bandung,Jawa Barat,0822804238216,tedimulyani@perum.com,2024-07-06,2024-05-12,13:42:02,2.8,Aktif,90.030.398.0-166.824
SUP3645,CV Gunawan Winarno,Elektronik,Yogyakarta,DI Yogyakarta,0857468246180,ynarpati@pt.desa.id,2020-10-08,2024-09-05,04:18:36,4.3,Non-Aktif,95.838.511.2-911.590
SUP1674,CV Habibi,Farmasi,Palembang,Sumatera Selatan,0822766520374,unknown,2023-09-19,2024-05-09,03:18:30,2.7,Aktif,09.130.161.4-230.324
SUP2107,CV Habibi,Elektronik,Medan,Sumatera Utara,0895667323590,unknown,2022-07-13,2023-03-07,14:19:07,3.2,Aktif,10.872.363.1-595.148
SUP3639,CV Habibi,Sembako,Makassar,Sulawesi Selatan,0812211640300,dadap60@pt.ponpes.id,2019-09-21,2023-11-12,06:17:45,4.3,Aktif,40.627.557.1-291.497
SUP0825,CV Habibi Farida (Persero) Tbk,Elektronik,Medan,Sumatera Utara,0811767374263,gandewa05@pt.com,2018-09-27,2023-12-29,06:19:12,3.0,Aktif,24.025.486.5-213.360
SUP1110,CV Habibi Hutasoit (Persero) Tbk,Bahan Baku,Yogyakarta,DI Yogyakarta,0811729067945,artasudiati@pd.sch.id,2018-04-18,2023-01-19,12:07:15,2.6,Aktif,64.097.602.1-914.335
SUP1919,CV Habibi Novitasari Tbk,Farmasi,Yogyakarta,DI Yogyakarta,0857668142350,lhasanah@ud.net,2016-02-08,2024-03-09,08:17:46,3.0,Aktif,22.519.073.6-340.932
SUP3141,CV Habibi Tbk,Bahan Baku,Bandung,Jawa Barat,0895913026888,ciswahyudi@ud.com,2016-09-10,2023-07-08,16:54:02,3.6,Aktif,35.780.211.7-293.752
SUP3308,CV Hakim,Fashion,Medan,Sumatera Utara,0895902275229,rizki22@ud.ac.id,2023-01-06,2022-09-08,09:12:12,4.6,Aktif,68.774.610.6-165.963
SUP4108,CV Hakim (Persero) Tbk,Farmasi,Samarinda,Kalimantan Timur,0813055852228,unknown,2018-08-11,2024-04-16,13:07:16,2.9,Aktif,33.836.983.5-326.981
SUP0961,CV Hakim Ramadan (Persero) Tbk,Farmasi,Semarang,Jawa Tengah,0821811469094,unknown,2016-04-03,2024-05-29,17:54:40,4.6,Aktif,79.870.469.9-294.092
SUP0540,CV Hakim Wahyuni (Persero) Tbk,Fashion,Medan,Sumatera Utara,0852424241672,atmajamangunsong@ud.go.id,2021-05-12,2022-06-04,21:01:11,4.6,Aktif,23.663.538.3-766.408
SUP3076,CV Hakim Wastuti (Persero) Tbk,Bahan Baku,Samarinda,Kalimantan Timur,0878404589913,putrihakim@pt.desa.id,2023-11-17,2022-07-05,10:51:18,4.8,Aktif,35.609.058.0-819.694
SUP1963,CV Halim,Alat Tulis,Samarinda,Kalimantan Timur,0895289313509,cmaryati@pd.or.id,2020-03-28,2023-06-25,15:31:49,4.2,Aktif,26.767.098.1-613.278
SUP2395,CV Halim,Bahan Baku,Surabaya,Jawa Timur,0895631886447,padmasaripurwadi@ud.or.id,2020-02-10,2024-03-10,13:27:01,4.1,Aktif,11.505.949.6-228.725
SUP3209,CV Halim Tbk,Elektronik,Makassar,Sulawesi Selatan,0812886500492,uyainahcemani@cv.mil.id,2023-05-17,2022-05-24,07:47:08,3.4,Aktif,47.756.404.3-852.124
SUP1538,CV Halimah Melani,Elektronik,Yogyakarta,DI Yogyakarta,0822783737246,hasanahpandu@ud.org,2016-04-03,2023-07-01,08:42:12,4.0,Aktif,68.874.537.6-772.111
SUP1988,CV Halimah Puspita,Elektronik,Samarinda,Kalimantan Timur,0812660059363,bmandasari@pt.org,2023-10-12,2022-12-18,11:30:39,4.1,Aktif,72.302.311.4-783.811
SUP0517,CV Halimah Saragih Tbk,Sembako,Jakarta,DKI Jakarta,0895081291954,harto86@perum.web.id,2019-06-02,2023-11-19,05:22:58,4.8,Aktif,47.874.415.1-797.089
SUP1161,CV Halimah Tbk,Bahan Baku,Denpasar,Bali,0895919678199,manullangnarji@pt.ponpes.id,2019-11-08,2024-08-05,09:08:45,2.5,Aktif,38.030.442.8-676.477
SUP2207,CV Halimah Yulianti Tbk,Bahan Baku,Palembang,Sumatera Selatan,0895094754621,gangsar06@perum.co.id,2021-06-15,2024-10-28,09:07:41,4.7,Aktif,78.727.628.7-454.280
SUP3774,CV Handayani,Fashion,Jakarta,DKI Jakarta,0852825364886,samosirheryanto@perum.mil.id,2019-05-30,2024-09-04,08:30:15,4.7,Non-Aktif,23.393.140.6-393.942
SUP3659,CV Handayani Hidayanto,Bahan Baku,Semarang,Jawa Tengah,0822589879690,crahayu@pt.my.id,2016-09-30,2023-06-06,23:42:05,2.5,Aktif,23.051.190.2-808.804
SUP1473,CV Handayani Purwanti (Persero) Tbk,Bahan Baku,Bandung,Jawa Barat,0812531062406,balapati99@ud.id,2016-11-09,2023-07-01,00:33:49,4.9,Aktif,49.197.106.2-215.034
SUP2817,CV Handayani Saefullah,Bahan Baku,Surabaya,Jawa Timur,0852852834355,emardhiyah@pt.org,2019-03-02,2023-07-20,13:19:48,2.8,Aktif,85.932.661.4-896.863
SUP1858,CV Hardiansyah,Farmasi,Makassar,Sulawesi Selatan,0852729123878,pratiwiaditya@ud.co.id,2018-05-30,2024-05-02,21:57:25,2.6,Aktif,99.854.929.1-832.553
SUP3316,CV Hardiansyah,Sembako,Surabaya,Jawa Timur,0822772404455,isirait@pt.ac.id,2021-10-15,2022-02-19,05:12:16,2.6,Non-Aktif,29.707.125.9-453.051
SUP1721,CV Hardiansyah (Persero) Tbk,Sembako,Palembang,Sumatera Selatan,0813543927217,vero42@pt.gov,2021-01-18,2024-03-11,18:34:40,3.8,Aktif,45.960.825.0-300.336
SUP3775,CV Hardiansyah (Persero) Tbk,Bahan Baku,Semarang,Jawa Tengah,0857972481954,hartativera@cv.ponpes.id,2017-02-04,2022-04-02,03:07:54,2.7,Aktif,61.595.969.4-508.652
SUP3183,CV Hardiansyah Maheswara,Bahan Baku,Medan,Sumatera Utara,0821748060669,waluyodongoran@perum.ac.id,2019-07-08,2024-06-02,23:13:35,4.0,Aktif,16.734.883.0-813.697
SUP3362,CV Hardiansyah Wastuti,Bahan Baku,Yogyakarta,DI Yogyakarta,0821329858517,firgantororaden@perum.web.id,2016-09-16,2022-05-31,19:54:04,2.8,Aktif,65.251.781.5-885.240
SUP0987,CV Hariyah,Fashion,Semarang,Jawa Tengah,0857663817191,handayanifitriani@pt.go.id,2017-02-09,2022-04-16,11:15:41,2.6,Aktif,62.244.812.0-748.464
SUP3610,CV Hariyah,Bahan Baku,Yogyakarta,DI Yogyakarta,0878295776103,lwibowo@ud.com,2016-06-19,2024-06-03,08:01:41,3.5,Aktif,99.410.757.8-533.000
SUP0751,CV Hariyah Sirait,Alat Tulis,Surabaya,Jawa Timur,0813171895774,shabibi@pt.desa.id,2017-10-15,2023-02-01,01:26:43,2.7,Aktif,80.231.654.2-415.211
SUP0821,CV Hariyah Tbk,Bahan Baku,Surabaya,Jawa Timur,0822235233708,karjarajata@pd.ac.id,2016-03-26,2023-11-01,09:50:47,2.6,Aktif,87.211.850.4-375.366
SUP1167,CV Hariyah Usada Tbk,Alat Tulis,Denpasar,Bali,0878442643585,darimin11@cv.ponpes.id,2023-06-19,2022-06-15,07:44:57,4.8,Aktif,63.303.257.8-562.601
SUP1192,CV Hartati,Alat Tulis,Makassar,Sulawesi Selatan,0821550334301,jumadi61@cv.biz.id,2016-11-19,2022-05-25,11:26:41,4.4,Aktif,47.573.325.9-725.370
SUP0528,CV Hartati Hartati,Farmasi,Semarang,Jawa Tengah,0811386225570,ynatsir@perum.sch.id,2017-04-17,2023-09-19,09:56:29,3.9,Aktif,98.771.513.1-972.124
SUP2594,CV Hartati Najmudin Tbk,Bahan Baku,Samarinda,Kalimantan Timur,0852712574655,lukmanmardhiyah@pd.gov,2017-04-17,2023-12-30,18:19:36,2.7,Aktif,79.011.409.8-240.755
SUP3856,CV Haryanti,Alat Tulis,Yogyakarta,DI Yogyakarta,0852312792123,gamanto49@pt.web.id,2022-01-11,2023-01-07,18:27:08,2.5,Aktif,19.877.868.5-128.007
SUP1310,CV Haryanti (Persero) Tbk,Elektronik,Yogyakarta,DI Yogyakarta,0822690719505,taswirpuspita@pd.desa.id,2016-01-05,2023-10-20,11:39:32,3.6,Aktif,81.597.644.4-570.004
SUP2028,CV Haryanti Ardianto,Alat Tulis,Semarang,Jawa Tengah,0895887616997,dagustina@pd.mil,2018-07-25,2022-07-09,06:43:44,4.2,Aktif,61.237.197.9-588.663
SUP2138,CV Haryanti Marpaung Tbk,Bahan Baku,Palembang,Sumatera Selatan,0822528891122,cemetitamba@perum.ponpes.id,2019-12-24,2023-07-31,13:28:28,3.5,Non-Aktif,41.307.122.6-597.240
SUP0954,CV Haryanti Tbk,Bahan Baku,Bandung,Jawa Barat,0821667628571,lailasitompul@pd.ponpes.id,2023-10-24,2023-04-01,22:34:50,3.7,Aktif,39.385.530.2-096.478
SUP1624,CV Haryanti Tbk,Fashion,Medan,Sumatera Utara,0821139260998,tasnimrajasa@pt.co.id,2023-10-04,2023-08-02,21:18:08,3.7,Aktif,58.146.968.8-379.122
SUP3440,CV Haryanti Tbk,Bahan Baku,Surabaya,Jawa Timur,0811284360683,unknown,2024-01-30,2022-05-17,02:12:55,3.8,Aktif,16.643.071.5-799.410
SUP2700,CV Haryanto,Bahan Baku,Yogyakarta,DI Yogyakarta,0822807669910,limarmardhiyah@pt.net,2023-01-15,2023-03-07,11:17:25,3.6,Aktif,19.455.524.2-289.492
SUP3237,CV Haryanto,Elektronik,Jakarta,DKI Jakarta,0895850417326,astutikariman@pt.my.id,2024-01-21,2024-06-06,21:12:45,3.2,Aktif,96.162.595.2-178.842
SUP3771,CV Haryanto (Persero) Tbk,Bahan Baku,Bandung,Jawa Barat,0857565440044,wacanapaulin@perum.sch.id,2016-09-27,2023-12-01,07:51:54,4.1,Aktif,47.770.605.3-896.695
SUP3873,CV Haryanto Andriani,Farmasi,Denpasar,Bali,0852244004578,siska59@pt.net.id,2020-04-06,2023-02-02,06:43:46,4.7,Aktif,60.761.098.1-952.341
SUP1016,CV Hasanah,Alat Tulis,Yogyakarta,DI Yogyakarta,0811574133792,zulkarnainpandu@perum.go.id,2023-07-20,2022-08-16,12:40:07,2.8,Aktif,58.582.053.8-806.271
